1,BG-101,V003,CoreTech Solutions,INV-100001,2026-06-29,2025-11-30,37789.00,12092.48,25696.52,Partially Paid
2,BG-105,V020,IronWorks Engineering,INV-100002,2025-11-24,2026-02-01,70719.00,70719.00,0.00,Paid
3,BG-101,V001,Apex Industrial Supplies,INV-100003,2025-09-13,2026-01-29,75424.00,0.00,75424.00,Outstanding
4,BG-103,V015,United Maintenance,INV-100004,2026-08-11,2026-06-27,23847.00,23847.00,0.00,Paid
5,BG-102,V017,Westfield Distribution,INV-100005,2026-06-07,2026-06-21,74942.00,19484.92,55457.08,Partially Paid
6,BG-106,V008,Horizon IT Services,INV-100006,2026-03-20,2026-01-13,92524.00,0.00,92524.00,Outstanding
7,BG-107,V010,NorthStar Consulting,INV-100007,2025-11-12,2026-02-05,89100.00,26730.00,62370.00,Partially Paid
8,BG-102,V002,BlueLine Logistics,INV-100008,2025-12-29,2026-04-29,82250.00,0.00,82250.00,Outstanding
9,BG-104,V005,East Coast Packaging,INV-100009,2026-01-30,2026-08-07,16270.00,10250.10,6019.90,Partially Paid
10,BG-103,V015,United Maintenance,INV-100010,2025-10-24,2025-09-20,77663.00,0.00,77663.00,Outstanding
11,BG-103,V004,Delta Office Systems,INV-100011,2025-10-20,2026-05-25,76985.00,0.00,76985.00,Outstanding
12,BG-101,V003,CoreTech Solutions,INV-100012,2026-02-20,2026-08-07,59813.00,0.00,59813.00,Outstanding
13,BG-107,V018,BrightPath Analytics,INV-100013,2026-04-12,2025-10-10,48389.00,48389.00,0.00,Paid
14,BG-102,V002,BlueLine Logistics,INV-100014,2026-05-15,2026-05-18,81327.00,81327.00,0.00,Paid
15,BG-102,V012,Rapid Transport Group,INV-100015,2026-04-21,2026-01-04,50808.00,28452.48,22355.52,Partially Paid
16,BG-102,V002,BlueLine Logistics,INV-100016,2026-01-07,2026-07-21,35087.00,24210.03,10876.97,Partially Paid
17,BG-103,V015,United Maintenance,INV-100017,2025-08-22,2026-08-13,11211.00,0.00,11211.00,Outstanding
18,BG-105,V020,IronWorks Engineering,INV-100018,2026-05-13,2026-02-20,72455.00,15940.10,56514.90,Partially Paid
19,BG-105,V006,Falcon Engineering,INV-100019,2025-11-08,2026-01-18,2260.00,0.00,2260.00,Outstanding
20,BG-103,V004,Delta Office Systems,INV-100020,2025-09-04,2026-08-20,50956.00,0.00,50956.00,Outstanding
21,BG-101,V009,Metro Equipment Co.,INV-100021,2026-07-26,2025-10-15,73304.00,0.00,73304.00,Outstanding
22,BG-105,V013,Summit Components,INV-100022,2026-06-18,2026-05-24,58679.00,0.00,58679.00,Outstanding
23,BG-103,V007,Global Facility Services,INV-100023,2026-02-11,2026-03-20,13968.00,10196.64,3771.36,Partially Paid
24,BG-106,V014,TechSource Partners,INV-100024,2025-09-22,2026-05-31,86984.00,86984.00,0.00,Paid
25,BG-105,V013,Summit Components,INV-100025,2025-10-30,2025-12-21,45681.00,18729.21,26951.79,Partially Paid
26,BG-105,V013,Summit Components,INV-100026,2026-08-15,2025-10-05,36436.00,25505.20,10930.80,Partially Paid
27,BG-103,V007,Global Facility Services,INV-100027,2026-04-01,2026-05-08,24167.00,0.00,24167.00,Outstanding
28,BG-107,V010,NorthStar Consulting,INV-100028,2026-02-20,2026-06-15,88827.00,0.00,88827.00,Outstanding
29,BG-101,V001,Apex Industrial Supplies,INV-100029,2025-12-29,2025-12-11,85689.00,0.00,85689.00,Outstanding
30,BG-101,V009,Metro Equipment Co.,INV-100030,2026-06-22,2026-04-24,49610.00,20340.10,29269.90,Partially Paid
31,BG-105,V013,Summit Components,INV-100031,2026-02-13,2026-01-30,92981.00,41841.45,51139.55,Partially Paid
32,BG-105,V020,IronWorks Engineering,INV-100032,2026-05-22,2026-02-01,7663.00,5823.88,1839.12,Partially Paid
33,BG-101,V003,CoreTech Solutions,INV-100033,2025-12-15,2026-06-23,17325.00,17325.00,0.00,Paid
34,BG-102,V012,Rapid Transport Group,INV-100034,2026-04-30,2026-07-08,78701.00,0.00,78701.00,Outstanding
35,BG-104,V005,East Coast Packaging,INV-100035,2026-06-19,2026-05-05,88531.00,88531.00,0.00,Paid
